 S(           1 ,           1 ):   1.00000000    
 i:            1 j:            1   1.00000000    
 S(           1 ,           2 ):   1.00000000    
 i:            1 j:            2   1.00000000    
 S(           1 ,           3 ):   1.00000000    
 i:            1 j:            3   1.00000000    
 S(           1 ,           4 ):  -1.00000000    
 i:            1 j:            4  -1.00000000    
 S(           1 ,           5 ):  -1.00000000    
 i:            1 j:            5  -1.00000000    
 S(           1 ,           6 ):   1.00000000    
 i:            1 j:            6   1.00000000    
 S(           1 ,           7 ):  -1.00000000    
 i:            1 j:            7  -1.00000000    
 S(           1 ,           8 ):  -1.00000000    
 i:            1 j:            8  -1.00000000    
 S(           1 ,           9 ):  -1.00000000    
 i:            1 j:            9  -1.00000000    
 S(           1 ,          10 ):  -1.00000000    
 i:            1 j:           10  -1.00000000    
 S(           1 ,          11 ):   1.00000000    
 i:            1 j:           11   1.00000000    
 S(           1 ,          12 ):  -1.00000000    
 i:            1 j:           12  -1.00000000    
 S(           1 ,          13 ):  -1.00000000    
 i:            1 j:           13  -1.00000000    
 S(           1 ,          14 ):  -1.00000000    
 i:            1 j:           14  -1.00000000    
 S(           1 ,          15 ):   1.00000000    
 i:            1 j:           15   1.00000000    
 S(           1 ,          16 ):   1.00000000    
 i:            1 j:           16   1.00000000    
 S(           1 ,          17 ):   1.00000000    
 i:            1 j:           17   1.00000000    
 S(           1 ,          18 ):   1.00000000    
 i:            1 j:           18   1.00000000    
 S(           1 ,          19 ):   1.00000000    
 i:            1 j:           19   1.00000000    
 S(           1 ,          20 ):  -1.00000000    
 i:            1 j:           20  -1.00000000    
 S(           1 ,          21 ):   1.00000000    
 i:            1 j:           21   1.00000000    
 S(           1 ,          22 ):  -1.00000000    
 i:            1 j:           22  -1.00000000    
 S(           1 ,          23 ):   1.00000000    
 i:            1 j:           23   1.00000000    
 S(           1 ,          24 ):   1.00000000    
 i:            1 j:           24   1.00000000    
 S(           1 ,          25 ):   1.00000000    
 i:            1 j:           25   1.00000000    
 S(           2 ,           1 ):   1.00000000    
 i:            2 j:            1   1.00000000    
 S(           2 ,           2 ):   1.00000000    
 i:            2 j:            2   1.00000000    
 S(           2 ,           3 ):   1.00000000    
 i:            2 j:            3   1.00000000    
 S(           2 ,           4 ):  -1.00000000    
 i:            2 j:            4  -1.00000000    
 S(           2 ,           5 ):   1.00000000    
 i:            2 j:            5   1.00000000    
 S(           2 ,           6 ):   1.00000000    
 i:            2 j:            6   1.00000000    
 S(           2 ,           7 ):   1.00000000    
 i:            2 j:            7   1.00000000    
 S(           2 ,           8 ):  -1.00000000    
 i:            2 j:            8  -1.00000000    
 S(           2 ,           9 ):   1.00000000    
 i:            2 j:            9   1.00000000    
 S(           2 ,          10 ):  -1.00000000    
 i:            2 j:           10  -1.00000000    
 S(           2 ,          11 ):   1.00000000    
 i:            2 j:           11   1.00000000    
 S(           2 ,          12 ):  -1.00000000    
 i:            2 j:           12  -1.00000000    
 S(           2 ,          13 ):  -1.00000000    
 i:            2 j:           13  -1.00000000    
 S(           2 ,          14 ):  -1.00000000    
 i:            2 j:           14  -1.00000000    
 S(           2 ,          15 ):   1.00000000    
 i:            2 j:           15   1.00000000    
 S(           2 ,          16 ):   1.00000000    
 i:            2 j:           16   1.00000000    
 S(           2 ,          17 ):  -1.00000000    
 i:            2 j:           17  -1.00000000    
 S(           2 ,          18 ):   1.00000000    
 i:            2 j:           18   1.00000000    
 S(           2 ,          19 ):   1.00000000    
 i:            2 j:           19   1.00000000    
 S(           2 ,          20 ):  -1.00000000    
 i:            2 j:           20  -1.00000000    
 S(           2 ,          21 ):  -1.00000000    
 i:            2 j:           21  -1.00000000    
 S(           2 ,          22 ):   1.00000000    
